Trade,OfferAmount,OfferItem,DesiredAmount,DesiredItem
"""I have 38 wheat and am looking to exchange them for 34 horses. Would you be open to a trade?""",38,wheat,34,horses
"""I have 41 iron that I'm looking to exchange for 9 gold. Would you like to make a trade?""",41,iron,9,gold
"""I'm interested in making a trade. I have 46 gold that I can offer for 24 aluminum. Would you consider it?""",46,gold,24,aluminum
"""I'd like to offer 2 aluminum for 46 gold. Would you consider the trade?""",2,aluminum,46,gold
"""How about a trade? I have 46 gold that I'm willing to exchange for 29 iron.""",46,gold,29,iron
"""I'd like to acquire 28 aluminum and am willing to offer 37 coal in exchange. Would you be interested in a trade?""",37,coal,28,aluminum
"""I'm interested in trading 2 stones for 23 wheat. Would you be open to a trade?""",2,stones,23,wheat
"""I'm willing to offer 35 aluminum for 14 gold. Let me know if you're interested in making a trade.""",35,aluminum,14,gold
"""I'm willing to exchange 36 horses for 32 coal. Let me know if you're interested in a trade.""",36,horses,32,coal
"""How about we make a deal? I have 22 iron that I can trade for 29 horses.""",22,iron,29,horses
"""I'd like to make a trade. I have 30 aluminum that I'm willing to offer for 48 iron. Would you be interested?""",30,aluminum,48,iron
"""I'd like to trade 34 gold for 49 wheat. What do you think?""",34,gold,49,wheat
"""I'm looking to acquire 46 iron and am willing to trade 22 stones for them. Would you be interested?""",22,stones,46,iron
"""I have 46 gold and am interested in trading them for 23 wood. What do you think?""",46,gold,23,wood
"""I'm interested in acquiring 23 horses and am willing to offer 25 gold in exchange. Are you open to a trade?""",25,gold,23,horses
"""I have 48 wood that I can trade for 38 coal. Are you interested?""",48,wood,38,coal
"""I have 2 gold that I'm willing to trade for 14 iron. Would you be interested in making a deal?""",2,gold,14,iron
"""I'm looking to trade 14 gold for 42 stones. Would you consider the offer?""",14,gold,42,stones
"""I'm willing to exchange 45 iron for 46 horses. Is that something you'd be interested in?""",45,iron,46,horses
"""I have 46 stones and am interested in trading them for 19 horses. What do you think?""",46,stones,19,horses
"""I have 24 aluminum that I'm looking to exchange for 26 wood. Are you open to a trade?""",24,aluminum,26,wood
"""I'd like to acquire 10 aluminum and am willing to offer 49 wood in exchange. Would you be interested in a trade?""",49,wood,10,aluminum
"""I'm looking to diversify my holdings and would like to trade 47 wood for 24 gold. Would you be interested?""",47,wood,24,gold
"""I'm willing to trade 37 stones for 42 wood. Is that something you'd be interested in?""",37,stones,42,wood
"""I'd like to offer 40 aluminum for 43 wood. Are you open to a trade?""",40,aluminum,43,wood
"""I'm looking to trade 10 stones for 8 wood. Would you consider the offer?""",10,stones,8,wood
"""I'm willing to trade 39 aluminum for 12 gold. Is that something you'd be interested in?""",39,aluminum,12,gold
"""I'm interested in acquiring 42 horses and am willing to trade 41 coal in exchange. Would you be open to that?""",41,coal,42,horses
"""I'm willing to offer 5 wood for 11 wheat. Are you interested in making a trade?""",5,wood,11,wheat
"""How about a trade? I have 33 iron that I'm willing to exchange for 46 stones.""",33,iron,46,stones
"""I'm interested in acquiring 22 stones and am willing to offer 8 horses in exchange. Are you open to a trade?""",8,horses,22,stones
"""I'd like to acquire 2 horses and can offer 22 iron in exchange. Would you be interested in trading?""",22,iron,2,horses
"""I have 49 wheat that I'm willing to trade for 23 horses. Would you be interested in making a deal?""",49,wheat,23,horses
"""I have 41 wood and am looking to exchange them for 16 coal. Would you be open to a trade?""",41,wood,16,coal
"""I have 38 horses that I'm willing to trade for 41 gold. Would you consider the offer?""",38,horses,41,gold
"""I'm looking to acquire 20 horses and am willing to offer 13 aluminum in exchange. Would you be interested?""",13,aluminum,20,horses
"""I have 37 stones and I'm interested in trading them for 50 gold. Would you consider the offer?""",37,stones,50,gold
"""I'm interested in trading 18 horses for 31 coal. Would you be open to a trade?""",18,horses,31,coal
"""I'm interested in acquiring 16 horses. I have 5 wheat that I can offer in exchange. Would you consider the trade?""",5,wheat,16,horses
"""I'm willing to trade 40 horses for 9 wheat. Is that something you'd be interested in?""",40,horses,9,wheat
"""I'm interested in acquiring 24 wheat and am willing to offer 3 coal in exchange. Let me know if you're interested in a trade.""",3,coal,24,wheat
"""I'd like to acquire 36 gold and can offer 44 wheat in exchange. Would you be interested in trading?""",44,wheat,36,gold
"""I'm willing to trade 35 iron for 29 wood. Would you be interested in making a deal?""",35,iron,29,wood
"""I'm interested in trading 23 aluminum for 36 horses. Would you be open to a trade?""",23,aluminum,36,horses
"""I'm willing to trade 38 wood for 45 horses. Let me know if you're interested.""",38,wood,45,horses
"""I'm interested in acquiring 14 iron and am willing to offer 30 gold in exchange. Let me know if you're interested in a trade.""",30,gold,14,iron
"""I'd like to trade 23 gold for 17 coal. What do you think?""",23,gold,17,coal
"""I have 23 coal that I'm willing to exchange for 26 wheat. Let me know if you're interested in a trade.""",23,coal,26,wheat
"""I'd like to make a trade. I have 34 coal that I'm willing to offer for 32 stones. Would you be interested?""",34,coal,32,stones
"""How about a trade? I have 49 horses that I can offer in exchange for 15 coal.""",49,horses,15,coal
"""I'd like to acquire 23 wood and am willing to offer 28 aluminum in exchange. Are you interested in making a trade?""",28,aluminum,23,wood
"""I'm willing to exchange 13 horses for 40 coal. Let me know if you're interested in a trade.""",13,horses,40,coal
"""I'm interested in trading 50 iron for 37 coal. Let me know if you'd like to make a deal.""",50,iron,37,coal
"""I'm looking to diversify my holdings and would like to trade 48 stones for 48 horses. Would you be interested?""",48,stones,48,horses
"""I'm interested in acquiring 37 aluminum and am willing to trade 15 gold in exchange. Would you consider the offer?""",15,gold,37,aluminum
"""I'm looking to trade 27 gold for 2 iron. Would you consider the offer?""",27,gold,2,iron
"""I have 26 iron that I'm willing to trade for 7 gold. Would you be interested?""",26,iron,7,gold
"""I'm willing to trade 42 coal for 22 aluminum. Let me know if you're interested.""",42,coal,22,aluminum
"""I have 34 iron that I'm willing to offer in exchange for 5 stones. Let me know if you're interested in a trade.""",34,iron,5,stones
"""I have 18 iron and I'm interested in trading them for 33 aluminum. Would you consider the offer?""",18,iron,33,aluminum
"""Would you be willing to trade 12 coal for 12 wood ? Let me know.""",12,wood,12,coal
"""I'm willing to exchange 39 aluminum for 42 horses. Is that something you'd be interested in?""",39,aluminum,42,horses
"""I'm looking to diversify my assets and would like to trade 41 gold for 15 horses. What do you think?""",41,gold,15,horses
"""I'm willing to offer 28 stones for 28 horses. Are you interested in making a trade?""",28,stones,28,horses
"""I have 8 wood that I'm looking to exchange for 19 gold. Are you open to a trade?""",8,wood,19,gold
"""I have 41 horses that I'm willing to exchange for 25 iron. Let me know if you're interested in a trade.""",41,horses,25,iron
"""I'm interested in making a trade. I have 48 iron that I can offer for 10 stones. Would you consider it?""",48,iron,10,stones
"""How about a trade? I have 31 gold that I can offer in exchange for 20 wheat.""",31,gold,20,wheat
"""I have 11 stones that I'm looking to exchange for 13 wheat. Are you open to a trade?""",11,stones,13,wheat
"""I have 20 gold that I'm willing to trade for 15 stones. Would you consider the offer?""",20,gold,15,stones
"""How about we make a trade? I'm willing to offer 2 stones in exchange for 27 wheat.""",2,stones,27,wheat
"""I'm interested in acquiring 11 wood and am willing to trade 2 aluminum in exchange. Would you be open to that?""",2,aluminum,11,wood
"""I'd like to offer 11 aluminum for 17 wheat. Are you open to a trade?""",11,aluminum,17,wheat
"""I have 10 aluminum that I'm willing to trade for 9 iron. Would you be interested?""",10,aluminum,9,iron
"""How about a trade? I have 46 iron that I can offer in exchange for 32 coal.""",46,iron,32,coal
"""I have 8 gold and am interested in trading them for 24 wood. What do you think?""",8,gold,24,wood
"""I'm interested in acquiring 9 horses and am willing to trade 47 aluminum in exchange. Would you consider the offer?""",47,aluminum,9,horses
"""I'd like to make a trade. I have 12 aluminum that I'm willing to offer for 2 iron.""",12,aluminum,2,iron
"""I'm willing to exchange 37 wood for 36 aluminum. Let me know if you're interested.""",37,wood,36,aluminum
"""I'm willing to exchange 1 wood for 8 coal. Is that something you'd be interested in?""",1,wood,8,coal
"""I'm willing to trade 37 aluminum for 37 iron. Let me know if you're interested.""",37,aluminum,37,iron
"""I'm looking to diversify my holdings and would like to trade 43 iron for 49 wheat. Would you be interested?""",43,iron,49,wheat
"""I'm interested in trading 21 gold for 2 aluminum. What do you think?""",21,gold,2,aluminum
"""I'm interested in trading 14 aluminum for 49 gold. Let me know if you'd like to make a deal.""",14,aluminum,49,gold
"""I'd like to make a trade. I have 26 coal that I'm willing to offer for 7 iron.""",26,coal,7,iron
"""I have 13 aluminum that I'm willing to exchange for 31 wood. Let me know if you're interested in a trade.""",13,aluminum,31,wood
"""I have 31 stones and am looking to exchange them for 39 aluminum. Would you be open to a trade?""",31,stones,39,aluminum
"""If you're interested in trading, I have 11 horses that I'm willing to offer for 28 wood.""",11,horses,28,wood
"""I'm looking to trade 23 gold for 12 horses. Would you consider the offer?""",23,gold,12,horses
"""I'd like to acquire 20 stones and am willing to offer 21 gold in exchange. Are you interested in making a trade?""",21,gold,20,stones
"""I have 48 coal that I'm willing to trade for 17 wheat. Are you open to a deal?""",48,coal,17,wheat
"""I have 29 gold that I'm looking to trade for 6 aluminum. Would you be open to that exchange?""",29,gold,6,aluminum
"""I have 43 wood that I'm looking to exchange for 30 aluminum. Would you like to make a trade?""",43,wood,30,aluminum
"""I have 27 gold that I'm looking to exchange for 25 wheat. Are you open to a trade?""",27,gold,25,wheat
"""I'm interested in trading 37 coal for 36 wood. What do you think?""",37,coal,36,wood
"""I'm interested in trading 27 wood for 13 stones. What do you think?""",27,wood,13,stones
"""I have 19 stones that I'm looking to exchange for 48 coal. Are you open to a trade?""",19,stones,48,coal
"""I'd like to offer 33 iron for 20 stones. Would you be interested in making a trade?""",33,iron,20,stones
"""I'm interested in trading 35 coal for 24 horses. What do you think?""",35,coal,24,horses
"""I have 43 horses that I'm willing to trade for 14 iron. Would you be interested?""",43,horses,14,iron
"""I'm interested in acquiring 17 iron and am willing to offer 39 horses in exchange. Are you open to a trade?""",39,horses,17,iron
"""I have 3 iron that I can trade for 11 wheat. Are you interested in making a deal?""",3,iron,11,wheat
"""I'm interested in acquiring 21 wood and am willing to trade 27 horses in exchange. Would you consider the offer?""",27,horses,21,wood
"""How about a trade? I have 39 wood that I'm willing to exchange for 5 iron.""",39,wood,5,iron
"""I have 40 iron and I'm interested in trading them for 42 gold. Would you consider the offer?""",40,iron,42,gold
"""I have 23 gold that I'm willing to trade for 48 aluminum. Would you be interested?""",23,gold,48,aluminum
"""How about we make a deal? I have 41 horses and I'm interested in trading them for 7 stones.""",41,horses,7,stones
"""I'm interested in acquiring 32 aluminum and am willing to offer 10 coal in exchange. Are you open to a trade?""",10,coal,32,aluminum
"""Would you be willing to trade 38 gold for 43 stones ? Let me know.""",43,stones,38,gold
"""I have 47 gold that I'm willing to trade for 26 stones. Would you consider the offer?""",47,gold,26,stones
"""I'm interested in acquiring 1 horses. I have 43 iron that I can offer in exchange. Would you consider the trade?""",43,iron,1,horses
"""I have 25 iron and am interested in trading them for 21 wood. What do you think?""",25,iron,21,wood
"""I'd like to acquire 18 iron and am willing to trade 24 aluminum in exchange. Let me know if you're interested in a deal.""",24,aluminum,18,iron
"""I have 40 wheat that I'm willing to trade for 3 horses. Would you be interested in making a deal?""",40,wheat,3,horses
"""I'd like to trade 4 wheat for 22 horses. Let me know if you're interested.""",4,wheat,22,horses
"""I'd like to offer 4 iron in exchange for 11 wood. Let me know if you're interested in making a trade.""",4,iron,11,wood
"""I have 34 aluminum and am looking to trade them for 18 coal. Would you consider the offer?""",34,aluminum,18,coal
"""I'm willing to offer 17 coal for 4 stones. Are you open to a trade?""",17,coal,4,stones
"""I'd like to trade 34 wheat for 5 stones. Let me know if you're interested.""",34,wheat,5,stones
"""If you're interested in trading, I have 27 aluminum that I'm willing to offer for 36 wood.""",27,aluminum,36,wood
"""I have 35 wheat that I'm willing to trade for 43 iron. Would you consider the offer?""",35,wheat,43,iron
"""I have 7 wood that I can trade for 15 coal. Are you interested in making a deal?""",7,wood,15,coal
"""I have 35 horses and am interested in exchanging them for 10 aluminum. Are you open to a trade?""",35,horses,10,aluminum
"""I'm interested in trading 20 horses for 6 wood. Let me know if you're interested.""",20,horses,6,wood
"""I'm interested in trading 11 iron for 31 gold. Let me know if you'd like to make a deal.""",11,iron,31,gold
"""I have 15 aluminum that I'm willing to offer in exchange for 39 wheat. Let me know if you're interested in a trade.""",15,aluminum,39,wheat
"""I'm interested in acquiring 18 stones and am willing to offer 19 aluminum in exchange. Are you open to a trade?""",19,aluminum,18,stones
"""I have 8 stones that I'm willing to exchange for 8 coal. Let me know if you're interested in a trade.""",8,stones,8,coal
"""I have 27 stones that I'm looking to exchange for 3 coal. Would you like to make a trade?""",27,stones,3,coal
"""I'm interested in acquiring 5 wood and am willing to trade 15 wheat in exchange. Would you be open to that?""",15,wheat,5,wood
"""Would you be willing to trade 43 horses for 43 wheat ? Let me know.""",43,wheat,43,horses
"""I have 3 wood that I'm looking to trade for 23 horses. Would you be open to that exchange?""",3,wood,23,horses
"""I have 17 wood that I can trade for 16 iron. Are you interested in making a deal?""",17,wood,16,iron
"""How about we make a deal? I have 41 horses and I'm interested in trading them for 14 coal.""",41,horses,14,coal
"""How about a trade? I have 50 gold that I can offer in exchange for 11 wheat.""",50,gold,11,wheat
"""I'm willing to exchange 22 horses for 42 wood. Let me know if you're interested.""",22,horses,42,wood
"""I'm interested in trading 8 coal for 50 stones. Would you be open to a trade?""",8,coal,50,stones
"""I'd like to offer 38 gold for 45 wheat. Would you be interested in making a trade?""",38,gold,45,wheat
"""I'm interested in acquiring 24 gold and am willing to trade 30 wood in exchange. Would you be open to that?""",30,wood,24,gold
"""I'm looking to diversify my assets and would like to trade 31 aluminum for 17 stones. Would you consider it?""",31,aluminum,17,stones
"""I'm willing to trade 33 iron for 26 aluminum. Let me know if you're interested.""",33,iron,26,aluminum
"""Would you be willing to trade 1 gold for 35 stones ? Let me know.""",35,stones,1,gold
"""I'm interested in trading 39 wheat for 31 horses. What do you think?""",39,wheat,31,horses
"""How about a trade? I have 25 wood that I can offer in exchange for 3 horses.""",25,wood,3,horses
"""I'd like to offer 49 wheat in exchange for 1 iron. Let me know if you're interested in making a trade.""",49,wheat,1,iron
"""I'm willing to offer 21 coal for 11 wheat. Are you interested in making a trade?""",21,coal,11,wheat
"""I'm interested in trading 19 gold for 7 wheat. Would you be open to a trade?""",19,gold,7,wheat
"""I have 33 wheat that I'm willing to offer in exchange for 27 gold. Let me know if you're interested in a trade.""",33,wheat,27,gold
"""I'm willing to exchange 40 gold for 43 wood. Is that something you'd be interested in?""",40,gold,43,wood
"""I'd like to make a trade. I have 33 coal that I'm willing to offer for 48 stones. Would you be interested?""",33,coal,48,stones
"""I'm looking to trade 42 aluminum for 18 wheat. Would you consider the offer?""",42,aluminum,18,wheat
"""I have 40 iron that I'm willing to trade for 46 gold. Would you be interested?""",40,iron,46,gold
"""How about we make a trade? I'm willing to offer 44 aluminum in exchange for 9 coal.""",44,aluminum,9,coal
"""I'm interested in trading 16 wheat for 35 gold. What do you think?""",16,wheat,35,gold
"""I have 39 coal and am looking to trade them for 46 wood. Would you consider the offer?""",39,coal,46,wood
"""I'm looking to acquire 41 wheat and am willing to trade 38 iron for them. Would you be interested?""",38,iron,41,wheat
"""I'm interested in trading 29 aluminum for 37 stones. Would you be open to a trade?""",29,aluminum,37,stones
"""I'm looking to trade 23 stones for 27 wheat. Would you consider the offer?""",23,stones,27,wheat
"""I'm willing to exchange 17 iron for 15 wheat. Let me know if you're interested.""",17,iron,15,wheat
"""I'm interested in acquiring 41 coal and am willing to offer 13 horses in exchange. Are you open to a trade?""",13,horses,41,coal
"""I'd like to acquire 8 horses and am willing to offer 48 aluminum in exchange. Are you open to a trade?""",48,aluminum,8,horses
"""I have 33 stones that I'm interested in trading for 40 coal. Would you consider the offer?""",33,stones,40,coal
"""I'm interested in acquiring 3 gold and am willing to offer 8 horses in exchange. Are you open to a trade?""",8,horses,3,gold
"""I'm willing to trade 47 wheat for 25 gold. Would you be interested in making a deal?""",47,wheat,25,gold
"""I have 8 aluminum that I'm looking to trade for 43 gold. Let me know if you're interested.""",8,aluminum,43,gold
"""I'm interested in acquiring 48 stones and am willing to offer 38 wood in exchange. Are you open to a trade?""",38,wood,48,stones
"""I'd like to acquire 15 wood and am willing to offer 19 horses in exchange. Are you interested in making a trade?""",19,horses,15,wood
"""I have 35 wood that I'm looking to trade for 7 gold. Let me know if you're interested.""",35,wood,7,gold
"""I have 10 wood and am looking to trade them for 23 coal. Would you consider the offer?""",10,wood,23,coal
"""I'm looking to acquire 25 coal and can offer 3 gold in exchange. Would you be interested in a trade?""",3,gold,25,coal
"""I'm interested in acquiring 24 wood and am willing to offer 46 wheat in exchange. Are you open to a trade?""",46,wheat,24,wood
"""I'm willing to trade 9 horses for 26 gold. Would you be interested in making a deal?""",9,horses,26,gold
"""I have 39 horses and I'm interested in trading them for 39 stones. Would you consider the offer?""",39,horses,39,stones
"""I'd like to acquire 8 coal and am willing to offer 28 aluminum in exchange. Would you be interested in a trade?""",28,aluminum,8,coal
"""I'm interested in making a trade. I have 44 stones that I can offer for 39 wheat. Would you consider it?""",44,stones,39,wheat
"""I have 12 coal that I'm willing to offer in exchange for 7 wheat. Let me know if you're interested in a trade.""",12,coal,7,wheat
"""I'm looking to acquire 32 horses and can offer 19 aluminum in exchange. Would you be interested in a trade?""",19,aluminum,32,horses
"""I'd like to make a trade. I have 28 coal that I'm willing to offer for 20 horses.""",28,coal,20,horses
"""I'm willing to trade 32 wood for 34 horses. Is that something you'd be interested in?""",32,wood,34,horses
"""I have 14 wheat that I'm willing to trade for 50 stones. Would you be interested?""",14,wheat,50,stones
"""I'm looking to acquire 5 aluminum and am willing to trade 2 horses for them. Would you be interested?""",2,horses,5,aluminum
"""I'm interested in trading 41 coal for 30 stones. What do you think?""",41,coal,30,stones
"""I'd like to make a trade. I have 13 aluminum that I can offer for 1 horses.""",13,aluminum,1,horses
"""I'm looking to trade 9 iron for 20 horses. Would you consider the offer?""",9,iron,20,horses
"""I'm looking to diversify my assets and would like to trade 2 iron for 16 wood. Would you consider it?""",2,iron,16,wood
"""I'd like to offer 27 iron for 3 wheat. Would you consider the trade?""",27,iron,3,wheat
"""I'm interested in trading 21 gold for 20 wood. What do you think?""",21,gold,20,wood
"""I'm interested in acquiring 13 stones and am willing to trade 24 coal in exchange. Would you consider the offer?""",24,coal,13,stones
"""I'm looking to diversify my assets and would like to trade 44 horses for 32 gold. What do you think?""",44,horses,32,gold
"""I'd like to make a trade. I have 40 iron that I'm willing to offer for 21 wood.""",40,iron,21,wood
"""I'm willing to offer 37 gold for 10 horses. Are you open to a trade?""",37,gold,10,horses
"""I'd like to make a trade. I have 3 wheat that I'm willing to offer for 33 aluminum.""",3,wheat,33,aluminum
"""How about a trade? I'll give you 2 wheat in exchange for 7 wood.""",2,wheat,7,wood
"""I have 39 horses and am looking to trade them for 48 stones. Would you consider the offer?""",39,horses,48,stones
"""I'm willing to exchange 12 stones for 13 iron. Let me know if you're interested.""",12,stones,13,iron
"""I'm interested in trading 30 horses for 38 wheat. What do you think?""",30,horses,38,wheat
"""I'm interested in trading 39 aluminum for 2 gold. What do you think?""",39,aluminum,2,gold
"""I'd like to acquire 32 stones and am willing to trade 31 wheat in exchange. Let me know if you're interested in a deal.""",31,wheat,32,stones
"""I'm looking to acquire 33 coal and am willing to offer 11 stones in exchange. Would you be interested?""",11,stones,33,coal
"""I'm looking to acquire 32 gold and am willing to trade 32 horses for them. Would you be interested?""",32,horses,32,gold
"""I'm willing to trade 49 wood for 29 iron. Let me know if you're interested.""",49,wood,29,iron
"""I'm interested in acquiring 31 iron and am willing to offer 28 coal in exchange. Are you open to a trade?""",28,coal,31,iron
"""I'd like to acquire 18 coal and can offer 16 aluminum in exchange. Let me know if you're interested in a trade.""",16,aluminum,18,coal
"""I'm interested in trading 1 iron for 49 wood. Let me know if you're interested.""",1,iron,49,wood
"""I'm willing to trade 5 iron for 48 wood. Is that something you'd be interested in?""",5,iron,48,wood
"""I'm interested in trading 44 horses for 43 wood. What do you think?""",44,horses,43,wood
"""I'd like to acquire 5 iron and am willing to offer 10 stones in exchange. Are you open to a trade?""",10,stones,5,iron
"""I'm interested in trading 12 stones for 12 horses. What do you think?""",12,stones,12,horses
"""I'm interested in trading 37 wood for 50 gold. Would you be open to a trade?""",37,wood,50,gold
"""I have 47 gold and am interested in exchanging them for 7 wood. Are you open to a trade?""",47,gold,7,wood
"""How about a trade? I have 10 coal that I can offer in exchange for 29 iron.""",10,coal,29,iron
"""I'm interested in trading 16 coal for 32 aluminum. Let me know if you'd like to make a deal.""",16,coal,32,aluminum
"""I'm willing to trade 30 horses for 28 aluminum. Let me know if you're interested.""",30,horses,28,aluminum
"""I'd like to make a trade. I have 48 gold that I'm willing to offer for 28 stones. Would you be interested?""",48,gold,28,stones
"""I'm looking to diversify my holdings and would like to trade 28 aluminum for 33 stones. Would you be interested?""",28,aluminum,33,stones
"""I'm interested in acquiring 23 wood and am willing to offer 20 gold in exchange. Let me know if you're interested in a trade.""",20,gold,23,wood
"""I'm willing to trade 10 gold for 23 aluminum. Would you consider the offer?""",10,gold,23,aluminum
"""I'm looking to trade 37 wood for 10 coal. Would you consider the offer?""",37,wood,10,coal
"""I'm willing to offer 9 gold for 48 coal. Are you open to a trade?""",9,gold,48,coal
"""I'm willing to trade 27 aluminum for 23 wheat. Is that something you'd be interested in?""",27,aluminum,23,wheat
"""I'm willing to offer 5 coal for 5 stones. Are you interested in making a trade?""",5,coal,5,stones
"""I have 3 coal that I'm willing to trade for 48 gold. Would you be interested in making a deal?""",3,coal,48,gold
"""I'd like to acquire 48 gold and am willing to offer 27 horses in exchange. Are you interested in making a trade?""",27,horses,48,gold
"""I'm interested in making a trade. I have 49 coal that I can offer for 34 aluminum. Would you consider it?""",49,coal,34,aluminum
"""How about a trade? I have 29 wood that I can offer in exchange for 43 gold.""",29,wood,43,gold
"""How about we make a deal? I have 24 iron and I'm interested in trading them for 28 wood.""",24,iron,28,wood
"""I have 3 gold and am looking to exchange them for 36 stones. Would you be open to a trade?""",3,gold,36,stones
"""I have 22 gold and am looking to trade them for 23 wheat. Would you consider the offer?""",22,gold,23,wheat
"""I'm interested in acquiring 45 stones and am willing to offer 2 wheat in exchange. Are you open to a trade?""",2,wheat,45,stones
"""I'm looking to acquire 21 horses and am willing to trade 40 stones for them. Would you be interested?""",40,stones,21,horses
"""I have 41 coal that I'm looking to trade for 37 iron. Let me know if you're interested.""",41,coal,37,iron
"""I'm looking to acquire 25 stones and can offer 24 coal in exchange. Would you be interested in a trade?""",24,coal,25,stones
"""I have 31 wheat and am looking to exchange them for 26 wood. Would you be open to a trade?""",31,wheat,26,wood
"""I have 12 wood that I'm willing to trade for 39 iron. Are you open to a deal?""",12,wood,39,iron
"""I'm willing to trade 26 iron for 12 wheat. Let me know if you're interested.""",26,iron,12,wheat
"""I'm willing to exchange 41 wood for 27 iron. Is that something you'd be interested in?""",41,wood,27,iron
"""I'm interested in acquiring 8 gold and am willing to trade 10 iron in exchange. Would you be open to that?""",10,iron,8,gold
"""I'm interested in acquiring 44 iron and am willing to offer 34 stones in exchange. Are you open to a trade?""",34,stones,44,iron
"""I'd like to offer 1 wheat for 45 stones. Are you open to a trade?""",1,wheat,45,stones
"""I'm willing to offer 45 iron for 50 gold. Are you open to a trade?""",45,iron,50,gold
"""I'm looking to diversify my assets and would like to trade 45 stones for 43 horses. What do you think?""",45,stones,43,horses
"""If you're interested in trading, I have 21 horses that I'm willing to offer for 24 iron.""",21,horses,24,iron
"""How about a trade? I have 39 wheat that I'm willing to exchange for 48 horses.""",39,wheat,48,horses
"""I'm interested in trading 32 stones for 7 horses. What do you think?""",32,stones,7,horses
"""I'd like to acquire 37 coal and am willing to offer 42 iron in exchange. Would you be interested in a trade?""",42,iron,37,coal
"""I'd like to acquire 32 iron and am willing to offer 42 horses in exchange. Are you interested in making a trade?""",42,horses,32,iron
"""I'm looking to trade 3 horses for 8 stones. Would you consider the offer?""",3,horses,8,stones
"""I have 48 iron and I'm interested in trading them for 18 stones. Would you consider the offer?""",48,iron,18,stones
"""I'm looking to acquire 8 gold and am willing to trade 35 stones for them. Would you be interested?""",35,stones,8,gold
"""I have 3 stones and I'm interested in trading them for 46 coal. Would you consider the offer?""",3,stones,46,coal
"""I have 28 wheat that I'm looking to trade for 10 wood. Let me know if you're interested.""",28,wheat,10,wood
"""Would you be willing to trade 30 stones for 8 wheat ? Let me know.""",8,wheat,30,stones
"""How about we make a trade? I'm willing to offer 18 wheat in exchange for 34 horses.""",18,wheat,34,horses
"""I have 32 gold that I'm willing to trade for 10 wheat. Are you open to a deal?""",32,gold,10,wheat
"""I'm looking to trade 41 horses for 6 coal. Would you consider the offer?""",41,horses,6,coal
"""I'd like to acquire 30 horses and can offer 46 wheat in exchange. Let me know if you're interested in a trade.""",46,wheat,30,horses
"""I'm interested in making a trade. I have 50 horses that I can offer for 16 wheat. Would you consider it?""",50,horses,16,wheat
"""I'm looking to diversify my assets and would like to trade 40 wood for 21 wheat. Would you consider it?""",40,wood,21,wheat
"""I have 48 horses that I'm willing to trade for 31 stones. Would you consider the offer?""",48,horses,31,stones
