Trade,OfferAmount,OfferItem,DesiredAmount,DesiredItem
I'm looking to acquire 1 stones and am willing to trade 3 horses for them. Would you be interested?,3,horses,1,stones
I have 23 wood and am looking to exchange them for 6 stones. Would you be open to a trade?,23,wood,6,stones
I'd like to acquire 32 horses and am willing to offer 30 wood in exchange. Are you open to a trade?,30,wood,32,horses
I'd like to acquire 33 iron and can offer 50 horses in exchange. Would you be interested in trading?,50,horses,33,iron
I'd like to acquire 30 iron and am willing to trade 45 aluminum in exchange. Let me know if you're interested in a deal.,45,aluminum,30,iron
I have 34 wheat that I'm looking to exchange for 10 iron. Would you like to make a trade?,34,wheat,10,iron
I'd like to make a trade. I have 44 horses that I can offer for 13 gold.,44,horses,13,gold
I have 19 wheat and I'm interested in trading them for 28 coal. Would you consider the offer?,19,wheat,28,coal
I'm looking to acquire 39 coal and can offer 3 stones in exchange. Would you be interested in a trade?,3,stones,39,coal
I'm interested in trading 43 wood for 31 iron. Let me know if you'd like to make a deal.,43,wood,31,iron
I'd like to trade 26 iron for 13 wood. Let me know if you're interested.,26,iron,13,wood
How about a trade? I have 38 aluminum that I can offer in exchange for 13 wheat.,38,aluminum,13,wheat
How about we make a deal? I have 44 horses and I'm interested in trading them for 20 aluminum.,44,horses,20,aluminum
I'm interested in trading 43 wheat for 48 coal. Let me know if you'd like to make a deal.,43,wheat,48,coal
I'm willing to trade 24 gold for 8 wheat. Is that something you'd be interested in?,24,gold,8,wheat
Would you be willing to trade 27 wheat for 40 aluminum ? Let me know.,40,aluminum,27,wheat
I'm looking to acquire 28 gold and am willing to offer 50 stones in exchange. Let me know if you're interested in a trade.,50,stones,28,gold
I'd like to offer 17 horses for 24 aluminum. Would you be interested in making a trade?,17,horses,24,aluminum
I'd like to acquire 48 horses and can offer 41 coal in exchange. Let me know if you're interested in a trade.,41,coal,48,horses
I have 33 coal that I'm willing to trade for 32 aluminum. Would you consider the offer?,33,coal,32,aluminum
I'm interested in acquiring 22 coal and am willing to trade 41 iron in exchange. Would you be open to that?,41,iron,22,coal
How about we make a trade? I'm willing to offer 29 horses in exchange for 31 stones.,29,horses,31,stones
I have 47 aluminum and am looking to exchange them for 24 wood. Would you be open to a trade?,47,aluminum,24,wood
I'm interested in acquiring 47 coal. I have 27 stones that I can offer in exchange. Would you consider the trade?,27,stones,47,coal
I have 38 iron that I'm looking to trade for 21 stones. Let me know if you're interested.,38,iron,21,stones
How about we make a deal? I have 40 coal that I can trade for 24 wood.,40,coal,24,wood
I'd like to make a trade. I have 11 stones that I'm willing to offer for 20 gold.,11,stones,20,gold
I'd like to offer 37 stones for 48 aluminum. Would you be interested in making a trade?,37,stones,48,aluminum
I have 37 horses that I'm looking to trade for 37 gold. Let me know if you're interested.,37,horses,37,gold
I'm looking to acquire 22 iron and am willing to trade 13 wheat for them. Would you be interested?,13,wheat,22,iron
I have 43 gold that I'm looking to trade for 45 iron. Let me know if you're interested.,43,gold,45,iron
I have 21 wood and am looking to exchange them for 39 stones. Would you be open to a trade?,21,wood,39,stones
I have 23 gold and I'm interested in trading them for 11 iron. Would you consider the offer?,23,gold,11,iron
I have 26 iron that I'm interested in trading for 29 gold. Would you consider the offer?,26,iron,29,gold
I'm interested in trading 29 horses for 46 wood. Would you be open to a trade?,29,horses,46,wood
I'd like to offer 28 horses for 22 aluminum. Would you be interested in making a trade?,28,horses,22,aluminum
I have 7 wood and am interested in trading them for 28 gold. What do you think?,7,wood,28,gold
I have 41 wheat that I can trade for 41 aluminum. Are you interested?,41,wheat,41,aluminum
I have 36 gold and am interested in exchanging them for 25 wood. Are you open to a trade?,36,gold,25,wood
I have 15 wood that I'm willing to trade for 4 stones. Are you open to a deal?,15,wood,4,stones
I have 24 coal that I'm looking to trade for 12 gold. Let me know if you're interested.,24,coal,12,gold
I'm looking to acquire 49 stones and am willing to offer 39 aluminum in exchange. Let me know if you're interested in a trade.,39,aluminum,49,stones
I'm interested in trading 49 horses for 13 wood. Let me know if you're interested.,49,horses,13,wood
I have 26 horses that I'm looking to exchange for 49 iron. Would you like to make a trade?,26,horses,49,iron
I'm interested in making a trade. I have 12 aluminum that I can offer for 12 wood. Would you consider it?,12,aluminum,12,wood
I have 42 aluminum that I'm looking to trade for 45 stones. Let me know if you're interested.,42,aluminum,45,stones
I have 8 stones and am interested in exchanging them for 16 aluminum. Are you open to a trade?,8,stones,16,aluminum
I'd like to acquire 19 iron and am willing to trade 47 stones in exchange. Let me know if you're interested in a deal.,47,stones,19,iron
How about a trade? I'll give you 40 wheat in exchange for 31 coal.,40,wheat,31,coal
How about a trade? I have 43 aluminum that I can offer in exchange for 11 wheat.,43,aluminum,11,wheat
I'm interested in acquiring 41 stones and am willing to offer 33 horses in exchange. Let me know if you're interested in a trade.,33,horses,41,stones
I'm interested in trading 26 wheat for 38 coal. Would you be open to a trade?,26,wheat,38,coal
I'd like to offer 5 gold for 13 stones. Would you consider the trade?,5,gold,13,stones
How about a trade? I have 3 aluminum that I can offer in exchange for 2 iron.,3,aluminum,2,iron
I'm interested in trading 47 iron for 4 horses. Let me know if you're interested.,47,iron,4,horses
I'm willing to trade 2 wood for 14 coal. Let me know if you're interested.,2,wood,14,coal
I'm looking to acquire 16 gold and am willing to offer 16 aluminum in exchange. Would you be interested?,16,aluminum,16,gold
Are you open to a trade? I have 1 gold that I'm willing to exchange for 8 wood.,1,gold,8,wood
I'd like to acquire 25 gold and am willing to offer 45 stones in exchange. Are you open to a trade?,45,stones,25,gold
I'm looking to acquire 43 aluminum and am willing to trade 48 wood for them. Would you be interested?,48,wood,43,aluminum
I'd like to make a trade. I have 36 gold that I'm willing to offer for 11 aluminum. Would you be interested?,36,gold,11,aluminum
I have 30 iron that I'm looking to exchange for 30 wood. Would you like to make a trade?,30,iron,30,wood
I'm interested in trading 26 horses for 41 iron. What do you think?,26,horses,41,iron
I have 9 coal and I'm interested in trading them for 17 wood. Would you consider the offer?,9,coal,17,wood
I'd like to trade 30 wood for 1 coal. Let me know if you're interested.,30,wood,1,coal
I'm interested in trading 34 wood for 20 stones. What do you think?,34,wood,20,stones
I'm interested in acquiring 19 gold and am willing to offer 8 iron in exchange. Let me know if you're interested in a trade.,8,iron,19,gold
I have 17 aluminum that I can trade for 41 wood. Are you interested in making a deal?,17,aluminum,41,wood
I'm interested in trading 41 gold for 4 wheat. What do you think?,41,gold,4,wheat
I'm interested in trading 1 wood for 14 coal. What do you think?,1,wood,14,coal
I'm interested in acquiring 2 stones and am willing to trade 10 iron in exchange. Would you be open to that?,10,iron,2,stones
I have 20 horses that I'm interested in trading for 30 wood. Would you consider the offer?,20,horses,30,wood
How about a trade? I have 2 wood that I can offer in exchange for 26 horses.,2,wood,26,horses
"If you're interested in trading, I have 22 horses that I'm willing to offer for 33 wood.",22,horses,33,wood
I'd like to offer 32 aluminum in exchange for 38 wood. Let me know if you're interested in making a trade.,32,aluminum,38,wood
I'd like to acquire 18 horses and am willing to trade 45 wheat in exchange. Let me know if you're interested in a deal.,45,wheat,18,horses
I'm willing to offer 23 aluminum for 42 wood. Let me know if you're interested in making a trade.,23,aluminum,42,wood
I'm looking to diversify my holdings and would like to trade 48 wood for 21 gold. Would you be interested?,48,wood,21,gold
I'm willing to trade 4 iron for 44 gold. Would you be interested in making a deal?,4,iron,44,gold
I'm looking to acquire 50 gold and am willing to offer 40 stones in exchange. Would you be interested?,40,stones,50,gold
I'd like to make a trade. I have 3 iron that I'm willing to offer for 1 aluminum.,3,iron,1,aluminum
I'm looking to diversify my holdings and would like to trade 43 stones for 31 iron. Would you be interested?,43,stones,31,iron
How about we make a trade? I'm willing to offer 28 wood in exchange for 20 aluminum.,28,wood,20,aluminum
I'm willing to trade 45 wheat for 35 wood. Would you be interested in making a deal?,45,wheat,35,wood
I'd like to offer 14 horses for 33 aluminum. Would you be interested in making a trade?,14,horses,33,aluminum
I have 5 wood that I'm looking to trade for 35 stones. Let me know if you're interested.,5,wood,35,stones
I'm looking to diversify my holdings and would like to trade 30 wheat for 6 gold. Would you be interested?,30,wheat,6,gold
I'm interested in acquiring 43 iron and am willing to offer 12 wood in exchange. Are you open to a trade?,12,wood,43,iron
I'm looking to trade 41 wheat for 14 iron. Would you consider the offer?,41,wheat,14,iron
I'm looking to trade 38 wood for 17 gold. Would you consider the offer?,38,wood,17,gold
I'd like to trade 27 iron for 23 gold. What do you think?,27,iron,23,gold
I have 44 gold that I'm willing to trade for 19 aluminum. Would you be interested in making a deal?,44,gold,19,aluminum
I'm willing to trade 30 stones for 11 aluminum. Is that something you'd be interested in?,30,stones,11,aluminum
I'm interested in trading 6 horses for 8 wood. What do you think?,6,horses,8,wood
I'd like to acquire 35 gold and am willing to trade 25 stones in exchange. Let me know if you're interested in a deal.,25,stones,35,gold
I'd like to trade 47 coal for 36 horses. Let me know if you're interested.,47,coal,36,horses
I'd like to make a trade. I have 27 aluminum that I'm willing to offer for 8 horses.,27,aluminum,8,horses
I'm looking to trade 26 horses for 2 aluminum. Would you consider the offer?,26,horses,2,aluminum
I'm interested in trading 36 wood for 43 horses. Let me know if you're interested.,36,wood,43,horses
I'm looking to trade 15 horses for 31 aluminum. Would you consider the offer?,15,horses,31,aluminum
I have 48 horses that I'm willing to offer in exchange for 36 gold. Let me know if you're interested in a trade.,48,horses,36,gold
I have 35 horses and am interested in trading them for 24 coal. What do you think?,35,horses,24,coal
I have 16 iron that I'm looking to trade for 15 wood. Would you be open to that exchange?,16,iron,15,wood
I'm interested in trading 50 gold for 2 wood. What do you think?,50,gold,2,wood
I'm willing to offer 49 wood for 20 wheat. Are you open to a trade?,49,wood,20,wheat
I have 11 iron that I'm willing to offer in exchange for 30 gold. Let me know if you're interested in a trade.,11,iron,30,gold
I'm looking to trade 16 gold for 3 wood. Would you consider the offer?,16,gold,3,wood
I'm interested in trading 30 iron for 50 gold. What do you think?,30,iron,50,gold
I'm interested in acquiring 44 coal. I have 41 iron that I can offer in exchange. Would you consider the trade?,41,iron,44,coal
How about we make a deal? I have 10 gold that I can trade for 17 wood.,10,gold,17,wood
I'm looking to acquire 33 coal and am willing to offer 8 horses in exchange. Let me know if you're interested in a trade.,8,horses,33,coal
I'm interested in trading 21 aluminum for 36 iron. Let me know if you'd like to make a deal.,21,aluminum,36,iron
I'm interested in acquiring 28 stones and am willing to trade 19 gold in exchange. Would you be open to that?,19,gold,28,stones
I'd like to acquire 47 horses and am willing to offer 43 iron in exchange. Are you open to a trade?,43,iron,47,horses
I'd like to make a trade. I have 31 stones that I'm willing to offer for 23 wood. Would you be interested?,31,stones,23,wood
I'm willing to trade 13 iron for 36 coal. Let me know if you're interested.,13,iron,36,coal
I'm interested in trading 1 aluminum for 47 gold. Let me know if you're interested.,1,aluminum,47,gold
Are you open to a trade? I have 11 iron that I'm willing to exchange for 31 aluminum.,11,iron,31,aluminum
I'm looking to trade 25 wheat for 16 stones. Would you consider the offer?,25,wheat,16,stones
I'd like to trade 4 coal for 36 horses. Let me know if you're interested.,4,coal,36,horses
How about a trade? I have 50 stones that I can offer in exchange for 48 wheat.,50,stones,48,wheat
I'm willing to trade 11 aluminum for 29 wheat. Is that something you'd be interested in?,11,aluminum,29,wheat
I'm willing to offer 45 aluminum for 15 wheat. Are you interested in making a trade?,45,aluminum,15,wheat
I'm looking to acquire 45 horses and am willing to offer 47 iron in exchange. Would you be interested?,47,iron,45,horses
I'd like to offer 49 gold for 13 wood. Would you be interested in making a trade?,49,gold,13,wood
I have 6 aluminum and am looking to exchange them for 47 gold. Would you be open to a trade?,6,aluminum,47,gold
I'd like to make a trade. I have 33 iron that I'm willing to offer for 15 horses. Would you be interested?,33,iron,15,horses
I'm willing to trade 41 horses for 12 wheat. Would you be interested in making a deal?,41,horses,12,wheat
I have 26 stones and am looking to exchange them for 30 aluminum. Would you be open to a trade?,26,stones,30,aluminum
I have 34 stones that I can trade for 47 wheat. Are you interested in making a deal?,34,stones,47,wheat
I'm interested in trading 7 stones for 47 coal. Would you be open to a trade?,7,stones,47,coal
I'm interested in trading 18 iron for 47 coal. What do you think?,18,iron,47,coal
I'm interested in trading 24 iron for 9 wood. What do you think?,24,iron,9,wood
I'd like to offer 1 horses for 49 stones. Would you consider the trade?,1,horses,49,stones
I'm interested in trading 40 gold for 40 wood. Let me know if you'd like to make a deal.,40,gold,40,wood
I have 9 wheat that I'm looking to exchange for 27 horses. Are you open to a trade?,9,wheat,27,horses
I'm looking to diversify my assets and would like to trade 5 stones for 11 iron. What do you think?,5,stones,11,iron
I'd like to acquire 10 horses and am willing to trade 50 gold in exchange. Let me know if you're interested in a deal.,50,gold,10,horses
I have 3 gold that I'm looking to trade for 43 horses. Would you be open to that exchange?,3,gold,43,horses
I'd like to acquire 36 iron and can offer 27 coal in exchange. Let me know if you're interested in a trade.,27,coal,36,iron
I'm interested in trading 38 horses for 9 iron. Would you be open to a trade?,38,horses,9,iron
I'm looking to diversify my assets and would like to trade 5 coal for 17 iron. Would you consider it?,5,coal,17,iron
I have 7 aluminum that I'm looking to exchange for 17 iron. Are you open to a trade?,7,aluminum,17,iron
I'd like to make a trade. I have 28 wood that I can offer for 26 coal.,28,wood,26,coal
I have 10 wood that I'm willing to trade for 36 gold. Would you consider the offer?,10,wood,36,gold
I'm looking to diversify my assets and would like to trade 49 iron for 49 aluminum. What do you think?,49,iron,49,aluminum
I'm looking to acquire 21 wood and am willing to trade 11 wheat for them. Would you be interested?,11,wheat,21,wood
I'm interested in acquiring 49 gold and am willing to offer 4 wood in exchange. Let me know if you're interested in a trade.,4,wood,49,gold
I have 19 horses and am interested in exchanging them for 23 iron. Are you open to a trade?,19,horses,23,iron
Would you be willing to trade 5 iron for 17 wheat ? Let me know.,17,wheat,5,iron
How about we make a trade? I'm willing to offer 42 wheat in exchange for 5 horses.,42,wheat,5,horses
I have 44 coal that I'm willing to offer in exchange for 16 gold. Let me know if you're interested in a trade.,44,coal,16,gold
I'm interested in trading 28 iron for 43 horses. Let me know if you'd like to make a deal.,28,iron,43,horses
I'm looking to trade 45 iron for 4 horses. Would you consider the offer?,45,iron,4,horses
I'd like to make a trade. I have 19 horses that I'm willing to offer for 35 gold.,19,horses,35,gold
I'm willing to offer 17 horses for 38 wood. Are you interested in making a trade?,17,horses,38,wood
I'm willing to trade 25 iron for 28 coal. Let me know if you're interested.,25,iron,28,coal
I'd like to acquire 8 coal and am willing to offer 22 stones in exchange. Are you open to a trade?,22,stones,8,coal
I have 16 wood that I'm willing to offer in exchange for 12 gold. Let me know if you're interested in a trade.,16,wood,12,gold
I'm interested in acquiring 19 iron and am willing to offer 36 wood in exchange. Let me know if you're interested in a trade.,36,wood,19,iron
I'm willing to offer 13 stones for 38 wood. Let me know if you're interested in making a trade.,13,stones,38,wood
How about we make a deal? I have 1 horses and I'm interested in trading them for 22 wheat.,1,horses,22,wheat
I'm interested in acquiring 39 wood. I have 4 horses that I can offer in exchange. Would you consider the trade?,4,horses,39,wood
I'm willing to exchange 36 wood for 19 stones. Let me know if you're interested.,36,wood,19,stones
I'm interested in acquiring 41 gold and am willing to offer 32 coal in exchange. Are you open to a trade?,32,coal,41,gold
I'm interested in acquiring 10 gold and am willing to trade 11 aluminum in exchange. Would you be open to that?,11,aluminum,10,gold
I'm interested in acquiring 27 wood and am willing to offer 28 gold in exchange. Are you open to a trade?,28,gold,27,wood
How about we make a deal? I have 26 horses that I can trade for 13 aluminum.,26,horses,13,aluminum
I'm interested in acquiring 35 iron and am willing to offer 22 wheat in exchange. Let me know if you're interested in a trade.,22,wheat,35,iron
How about a trade? I'll give you 38 gold in exchange for 3 wood.,38,gold,3,wood
I'm interested in trading 9 coal for 14 wheat. What do you think?,9,coal,14,wheat
I'd like to make a trade. I have 32 gold that I'm willing to offer for 27 horses.,32,gold,27,horses
I'd like to acquire 1 wood and am willing to offer 45 wheat in exchange. Are you interested in making a trade?,45,wheat,1,wood
I'd like to acquire 14 gold and can offer 37 iron in exchange. Let me know if you're interested in a trade.,37,iron,14,gold
I have 10 horses and I'm interested in trading them for 34 aluminum. Would you consider the offer?,10,horses,34,aluminum
I have 9 stones and am interested in trading them for 31 coal. What do you think?,9,stones,31,coal
I have 32 horses that I can trade for 50 coal. Are you interested in making a deal?,32,horses,50,coal
Would you be willing to trade 19 iron for 31 gold ? Let me know.,31,gold,19,iron
I'd like to make a trade. I have 6 aluminum that I can offer for 23 gold.,6,aluminum,23,gold
I'm willing to offer 44 wood for 36 gold. Are you interested in making a trade?,44,wood,36,gold
I'm looking to trade 43 gold for 27 stones. Would you consider the offer?,43,gold,27,stones
I'm interested in acquiring 27 coal and am willing to offer 3 iron in exchange. Are you open to a trade?,3,iron,27,coal
I'm willing to offer 17 gold for 25 horses. Are you interested in making a trade?,17,gold,25,horses
I'm looking to diversify my assets and would like to trade 36 aluminum for 5 iron. What do you think?,36,aluminum,5,iron
I'd like to make a trade. I have 43 gold that I'm willing to offer for 35 iron. Would you be interested?,43,gold,35,iron
I'm interested in trading 43 coal for 30 iron. Let me know if you're interested.,43,coal,30,iron
I have 11 horses that I can trade for 23 stones. Are you interested?,11,horses,23,stones
I have 15 gold that I'm willing to trade for 21 coal. Would you be interested?,15,gold,21,coal
I'm looking to acquire 19 iron and am willing to trade 33 stones for them. Would you be interested?,33,stones,19,iron
I'm willing to offer 9 gold for 37 coal. Are you interested in making a trade?,9,gold,37,coal
How about we make a trade? I'm willing to offer 23 gold in exchange for 35 coal.,23,gold,35,coal
I'm willing to offer 44 aluminum for 25 horses. Let me know if you're interested in making a trade.,44,aluminum,25,horses
I'd like to offer 47 wood for 1 coal. Would you be interested in making a trade?,47,wood,1,coal
How about a trade? I have 23 coal that I can offer in exchange for 23 aluminum.,23,coal,23,aluminum
I'm interested in trading 29 wheat for 10 aluminum. What do you think?,29,wheat,10,aluminum
I'm willing to trade 22 coal for 44 wheat. Would you consider the offer?,22,coal,44,wheat
I'm willing to offer 44 gold for 28 stones. Are you interested in making a trade?,44,gold,28,stones
I'm looking to acquire 50 wood and am willing to trade 25 wheat for them. Would you be interested?,25,wheat,50,wood
I have 6 iron and am interested in trading them for 24 stones. What do you think?,6,iron,24,stones
I'm interested in acquiring 43 stones. I have 48 gold that I can offer in exchange. Would you consider the trade?,48,gold,43,stones
I'm willing to exchange 27 stones for 16 aluminum. Is that something you'd be interested in?,27,stones,16,aluminum
I'm willing to trade 17 gold for 8 stones. Let me know if you're interested.,17,gold,8,stones
I'd like to acquire 40 aluminum and can offer 37 stones in exchange. Would you be interested in trading?,37,stones,40,aluminum
I'm willing to offer 5 stones for 21 coal. Are you interested in making a trade?,5,stones,21,coal
I'd like to trade 16 wood for 29 horses. What do you think?,16,wood,29,horses
I'm looking to acquire 19 aluminum and am willing to trade 49 wheat for them. Would you be interested?,49,wheat,19,aluminum
I have 28 aluminum that I'm interested in trading for 9 coal. Would you consider the offer?,28,aluminum,9,coal
I have 49 wood that I'm willing to trade for 24 coal. Are you open to a deal?,49,wood,24,coal
I'm looking to trade 41 aluminum for 41 wheat. Would you consider the offer?,41,aluminum,41,wheat
I'm looking to acquire 46 coal and am willing to trade 26 stones for them. Would you be interested?,26,stones,46,coal
I'd like to acquire 26 wood and am willing to trade 11 stones in exchange. Let me know if you're interested in a deal.,11,stones,26,wood
I'd like to make a trade. I have 47 coal that I can offer for 15 wheat.,47,coal,15,wheat
How about a trade? I have 4 aluminum that I can offer in exchange for 4 gold.,4,aluminum,4,gold
I'd like to make a trade. I have 9 coal that I'm willing to offer for 28 gold.,9,coal,28,gold
I'd like to acquire 21 horses and am willing to offer 28 coal in exchange. Are you interested in making a trade?,28,coal,21,horses
I'm looking to acquire 28 wheat and can offer 35 gold in exchange. Would you be interested in a trade?,35,gold,28,wheat
I have 43 wheat that I'm looking to exchange for 47 stones. Would you like to make a trade?,43,wheat,47,stones
I have 40 coal that I'm willing to exchange for 10 iron. Let me know if you're interested in a trade.,40,coal,10,iron
How about we make a trade? I'm willing to offer 34 iron in exchange for 39 gold.,34,iron,39,gold
I have 9 wheat that I'm willing to exchange for 49 aluminum. Let me know if you're interested in a trade.,9,wheat,49,aluminum
I'm interested in trading 32 aluminum for 28 horses. Would you be open to a trade?,32,aluminum,28,horses
I'm interested in trading 27 wheat for 21 iron. What do you think?,27,wheat,21,iron
I have 26 gold that I'm looking to exchange for 3 horses. Are you open to a trade?,26,gold,3,horses
I have 11 horses that I'm looking to exchange for 3 wheat. Would you like to make a trade?,11,horses,3,wheat
How about we make a deal? I have 31 wood that I can trade for 38 stones.,31,wood,38,stones
I'm interested in trading 45 stones for 42 wood. What do you think?,45,stones,42,wood
I'm looking to acquire 39 wood and am willing to trade 14 iron for them. Would you be interested?,14,iron,39,wood
I have 34 wheat that I'm looking to exchange for 30 wood. Are you open to a trade?,34,wheat,30,wood
How about a trade? I have 42 wheat that I can offer in exchange for 5 horses.,42,wheat,5,horses
I'm interested in trading 4 wood for 12 wheat. What do you think?,4,wood,12,wheat
How about a trade? I have 30 stones that I can offer in exchange for 3 gold.,30,stones,3,gold
I'm willing to trade 31 stones for 29 wheat. Let me know if you're interested.,31,stones,29,wheat
I have 13 iron that I'm looking to trade for 8 wood. Would you be open to that exchange?,13,iron,8,wood
I'm willing to trade 18 wheat for 21 aluminum. Let me know if you're interested.,18,wheat,21,aluminum
How about we make a deal? I have 35 horses and I'm interested in trading them for 29 coal.,35,horses,29,coal
I'd like to acquire 1 gold and can offer 50 iron in exchange. Would you be interested in trading?,50,iron,1,gold
I'm willing to exchange 34 stones for 17 aluminum. Let me know if you're interested in a trade.,34,stones,17,aluminum
I'm looking to acquire 28 coal and can offer 20 stones in exchange. Would you be interested in a trade?,20,stones,28,coal
Would you be willing to trade 23 stones for 50 wood ? Let me know.,50,wood,23,stones
How about we make a deal? I have 25 coal that I can trade for 41 wood.,25,coal,41,wood
I have 3 coal that I'm looking to trade for 22 aluminum. Let me know if you're interested.,3,coal,22,aluminum
I have 34 coal that I'm looking to trade for 5 iron. Let me know if you're interested.,34,coal,5,iron
I'm willing to offer 16 gold for 42 coal. Are you interested in making a trade?,16,gold,42,coal
How about a trade? I have 20 gold that I can offer in exchange for 16 wheat.,20,gold,16,wheat
I'd like to acquire 1 coal and can offer 13 stones in exchange. Would you be interested in trading?,13,stones,1,coal
I'd like to make a trade. I have 31 iron that I'm willing to offer for 8 stones. Would you be interested?,31,iron,8,stones
I'm willing to trade 43 aluminum for 36 iron. Let me know if you're interested.,43,aluminum,36,iron
I'm interested in trading 26 aluminum for 27 gold. Would you be open to a trade?,26,aluminum,27,gold
How about we make a trade? I'm willing to offer 22 stones in exchange for 1 aluminum.,22,stones,1,aluminum
Are you open to a trade? I have 37 gold that I'm willing to exchange for 33 aluminum.,37,gold,33,aluminum
I'm interested in trading 32 wood for 37 aluminum. What do you think?,32,wood,37,aluminum
I'm looking to acquire 8 coal and am willing to offer 17 wood in exchange. Let me know if you're interested in a trade.,17,wood,8,coal
I'd like to acquire 39 stones and am willing to offer 20 wheat in exchange. Are you open to a trade?,20,wheat,39,stones
Would you be willing to trade 22 aluminum for 28 wheat ? Let me know.,28,wheat,22,aluminum
I'm looking to trade 40 stones for 28 horses. Would you consider the offer?,40,stones,28,horses
I'm interested in acquiring 22 gold. I have 21 wood that I can offer in exchange. Would you consider the trade?,21,wood,22,gold
I'd like to acquire 45 coal and am willing to offer 34 horses in exchange. Are you open to a trade?,34,horses,45,coal
I'm looking to trade 48 wood for 17 aluminum. Would you consider the offer?,48,wood,17,aluminum
How about we make a trade? I'm willing to offer 4 iron in exchange for 37 horses.,4,iron,37,horses
I have 46 horses that I'm willing to trade for 24 gold. Are you open to a deal?,46,horses,24,gold
I have 19 coal and am looking to exchange them for 10 wood. Would you be open to a trade?,19,coal,10,wood
I'm willing to trade 14 wood for 33 stones. Let me know if you're interested.,14,wood,33,stones
How about a trade? I have 6 iron that I'm willing to exchange for 31 horses.,6,iron,31,horses
I'm interested in trading 8 wood for 24 stones. What do you think?,8,wood,24,stones
I have 3 coal that I can trade for 34 stones. Are you interested?,3,coal,34,stones
I'd like to offer 39 coal for 39 iron. Are you open to a trade?,39,coal,39,iron
I'd like to acquire 30 coal and can offer 50 stones in exchange. Would you be interested in trading?,50,stones,30,coal
I'm looking to trade 30 stones for 28 iron. Would you consider the offer?,30,stones,28,iron
I'd like to make a trade. I have 29 aluminum that I'm willing to offer for 23 wood.,29,aluminum,23,wood
I'm willing to trade 40 gold for 15 wheat. Would you be interested in making a deal?,40,gold,15,wheat
I have 3 stones and am looking to trade them for 37 gold. Would you consider the offer?,3,stones,37,gold
How about a trade? I'll give you 38 horses in exchange for 22 aluminum.,38,horses,22,aluminum
I'm interested in acquiring 27 stones and am willing to offer 30 gold in exchange. Are you open to a trade?,30,gold,27,stones
I'd like to acquire 2 aluminum and am willing to offer 25 wheat in exchange. Are you open to a trade?,25,wheat,2,aluminum
How about a trade? I have 12 gold that I'm willing to exchange for 34 wheat.,12,gold,34,wheat
I have 27 aluminum and am interested in trading them for 47 horses. What do you think?,27,aluminum,47,horses
I'd like to make a trade. I have 34 stones that I'm willing to offer for 5 gold.,34,stones,5,gold
I'm willing to offer 47 gold for 38 aluminum. Let me know if you're interested in making a trade.,47,gold,38,aluminum
